instance,region,score
m7i.metal-48xl,sa-east-1,0.03723565614325774
m7a.12xlarge,us-west-2,0.03723378310137985
c7a.48xlarge,eu-central-1,0.03718085762604282
m5ad.8xlarge,eu-central-1,0.037086612788241886
r6id.32xlarge,us-east-2,0.037052097782604175
g6.24xlarge,us-east-1,0.03704690598863928
r7i.48xlarge,us-east-2,0.03696138245867123
m6id.12xlarge,ca-central-1,0.036936776602970976
r6i.24xlarge,ap-northeast-3,0.03691113340436184
r5n.16xlarge,eu-west-3,0.03690177397797973
c5n.4xlarge,eu-north-1,0.03686707368066301
r7g.12xlarge,ap-southeast-1,0.03686647168352225
c6gn.8xlarge,us-west-2,0.036859780011514305
r5ad.12xlarge,ap-southeast-2,0.03684034487978916
r5a.16xlarge,eu-west-1,0.03671415847202451
c7gd.12xlarge,us-east-1,0.036594216518469336
m6i.32xlarge,ap-south-1,0.03647344593242331
r7a.8xlarge,eu-north-1,0.03640102628928905
r5a.12xlarge,ap-northeast-1,0.03635410770623894
c5ad.12xlarge,ap-southeast-2,0.03634733612352531
r5n.24xlarge,ap-northeast-2,0.03625149698110834
m6in.12xlarge,ap-southeast-2,0.03618319181914013
m6g.metal,ap-southeast-2,0.03615548478791906
d3en.12xlarge,eu-west-1,0.036116178204999023
r5ad.8xlarge,ap-northeast-1,0.036064359522617946
r7i.24xlarge,ap-southeast-1,0.03584978022726467
r5b.24xlarge,ca-central-1,0.03566948595720056
g6e.8xlarge,us-east-2,0.03557102733422562
c7gd.metal,eu-west-1,0.035498994428884434
i4i.metal,eu-west-1,0.0354289523191219
c5a.8xlarge,ap-southeast-1,0.03523268230762988
r6idn.xlarge,us-east-1,0.03518994088819146
r6idn.16xlarge,us-west-2,0.035166347707030095
c7gn.4xlarge,us-east-1,0.03506220926446469
m7i-flex.xlarge,eu-west-2,0.03503718491099518
r6gd.12xlarge,ca-central-1,0.03483632363947301
inf2.24xlarge,eu-west-3,0.03477614210762783
c6gd.metal,ap-northeast-1,0.034768013690064915
c7i-flex.2xlarge,ap-southeast-2,0.03474564650929359
c6in.2xlarge,eu-central-1,0.03473526070280443
r6g.12xlarge,ap-northeast-1,0.034677105770393284
m6in.32xlarge,us-west-1,0.03457180381966844
m5dn.2xlarge,ap-southeast-1,0.034567306807544516
m6in.metal,eu-north-1,0.034429623805047986
m5ad.8xlarge,ap-southeast-2,0.03437237910832243
r5b.8xlarge,ap-southeast-2,0.03431822945834255
c7g.metal,eu-north-1,0.034244094996087736
c6a.48xlarge,us-east-2,0.03421807482666052
im4gn.2xlarge,ap-northeast-1,0.0341805338656145
r6a.4xlarge,ap-southeast-1,0.034173499686499104
c6i.32xlarge,ap-southeast-1,0.03415941138258806
m6idn.4xlarge,ap-south-1,0.03413965843051319
m6in.4xlarge,ca-central-1,0.034137290805168814
c7gd.4xlarge,us-east-1,0.03411104200263546
m7i-flex.xlarge,eu-central-1,0.034026328231241104
c6gn.8xlarge,eu-central-1,0.0336757492766275
m6idn.16xlarge,us-east-1,0.03363717402645411
x2gd.metal,us-west-2,0.033608810727500056
c5d.18xlarge,ap-northeast-2,0.03352566353850524
c6a.metal,eu-central-1,0.03329942931253757
c7gd.metal,us-west-2,0.033254259939121636
r5dn.8xlarge,eu-central-1,0.033232651917535744
m5a.16xlarge,ap-northeast-1,0.033163460450899206
r5ad.8xlarge,ca-central-1,0.03303954747962918
r7i.metal-24xl,us-west-1,0.03285341195593123
c6a.32xlarge,ap-south-1,0.0326932206038746
c7i.16xlarge,ap-northeast-1,0.03268458172571016
m5ad.24xlarge,us-west-2,0.032351861243990955
r6gd.2xlarge,ca-central-1,0.03234304449224767
c6gn.12xlarge,ap-southeast-1,0.03223174511037818
c6gn.2xlarge,ca-central-1,0.032180336153938116
m5ad.16xlarge,us-west-2,0.03208914118905018
m6idn.12xlarge,us-west-1,0.03196800449075725
m6idn.16xlarge,us-east-2,0.03196254489816021
c7gn.8xlarge,ap-northeast-1,0.0319522276526784
x2idn.32xlarge,us-east-1,0.03170960558637699
c7g.12xlarge,ap-northeast-1,0.03168057513072763
c6id.8xlarge,ap-southeast-2,0.03167178562324536
r7a.8xlarge,us-west-2,0.03166751812478725
r3.4xlarge,us-east-1,0.03162763492820769
i4i.24xlarge,eu-central-1,0.03124975246469524
r6a.24xlarge,eu-central-1,0.031216829911634013
r6g.12xlarge,us-east-1,0.031182387610929917
r6idn.32xlarge,eu-central-1,0.031132559984210387
m5ad.8xlarge,eu-west-1,0.031123116988163824
x2iedn.8xlarge,eu-west-1,0.03103947336662744
m7i.metal-24xl,ap-northeast-1,0.03096688237862435
c6a.8xlarge,ap-northeast-1,0.030916466361783697
m6g.16xlarge,us-east-1,0.03072603239276151
d3.4xlarge,ap-southeast-2,0.030692380953528452
m7i.48xlarge,ap-northeast-1,0.030691098084833356
c7gn.12xlarge,ap-northeast-1,0.030571898682335178
x2iedn.xlarge,ap-southeast-1,0.030559781728064412
c6in.12xlarge,eu-west-1,0.030538473535749695
c6in.large,ap-south-1,0.03025691136310381
m6i.metal,us-east-2,0.030212763003424972
r6i.metal,eu-west-1,0.03009361840046867
m6i.24xlarge,eu-west-3,0.02999722496410589
r5ad.8xlarge,us-west-2,0.029977509498967835
r6idn.12xlarge,eu-west-1,0.029878692412329436
m6in.12xlarge,ca-central-1,0.029792084584279992
c7a.12xlarge,ap-northeast-1,0.029659905357847283
r6i.metal,ca-central-1,0.02949729135915426
c6gn.16xlarge,us-west-2,0.029354805868347628
g6.xlarge,us-east-1,0.029304125317719008
r5ad.8xlarge,us-east-2,0.029291062099368704
r5b.12xlarge,ap-northeast-2,0.029120270676608592
r5b.large,ca-central-1,0.028892763131754873
r6idn.24xlarge,us-east-2,0.028789914363796607
r8g.8xlarge,us-west-2,0.0287868504349684
